artifact_id,file_name,ext,bytes,modified_utc,sha256_12,category,subtype,experiment_family
cil-0001-cil-native-memory-doctrine-v1-20,CIL_NATIVE_MEMORY_DOCTRINE_v1_2026-03-29s.md,.md,2369,2026-03-29T16:38:19.584783+00:00,54ba940e4798,doctrine,basis_doctrine,misc
cil-0002-consolidated-next-steps-2026-03-,CONSOLIDATED_NEXT_STEPS_2026-03-29ad.md,.md,1322,2026-03-29T16:38:19.462215+00:00,1c61fecf70da,control,next_steps,control_layer
cil-0003-consolidated-next-steps-2026-03-,CONSOLIDATED_NEXT_STEPS_2026-03-29w.md,.md,1025,2026-03-29T16:36:20.096605+00:00,5f351e4efa22,control,next_steps,control_layer
cil-0004-consolidated-next-steps-2026-03-,CONSOLIDATED_NEXT_STEPS_2026-03-29x.md,.md,1255,2026-03-29T16:36:19.811779+00:00,409017ccc6a7,control,next_steps,control_layer
cil-0005-claude-eval,Claude eval.md,.md,57012,2026-03-29T16:36:17.997837+00:00,c344aee81aea,document,markdown,misc
cil-0006-design-synthesis-and-specificati,Design synthesis and specification alignment - Claude (3).mht,.mht,4856214,2026-03-29T16:36:27.237334+00:00,d433f04d310d,source,mht_capture,misc
cil-0007-extract,EXTRACT.md,.md,166527,2026-03-29T16:36:20.711963+00:00,7b52aac18698,control,extraction,control_layer
cil-0008-full-extracted-mht,Full extracted MHT.txt,.txt,343755,2026-03-29T16:36:26.654766+00:00,6ba3d3220ce1,source,text_capture,control_layer
cil-0009-karnos-shadow-addendum-2026-03-2,KarnOS-Shadow-Addendum-2026-03-27a.md,.md,14133,2026-03-29T16:36:27.090908+00:00,52337a99236c,control,addendum,control_layer
cil-0010-karnos-shadow-maintenance-note-2,KarnOS-Shadow-Maintenance-Note-2026-03-27a.md,.md,6533,2026-03-29T16:36:27.337144+00:00,5080e0800b15,document,markdown,control_layer
cil-0011-karnos-shadow-trace-matrix-2026-,KarnOS-Shadow-Trace-Matrix-2026-03-27a.md,.md,10165,2026-03-29T16:36:27.144687+00:00,98c7f95bc855,document,markdown,misc
cil-0012-lab-review-package-manifest-2026,LAB_REVIEW_PACKAGE_MANIFEST_2026-03-29ad.md,.md,1098,2026-03-29T16:38:19.511914+00:00,b5a13d92682d,document,markdown,misc
cil-0013-process-checkpoint-meta-eval-202,PROCESS_CHECKPOINT_META_EVAL_2026-03-29u.md,.md,7846,2026-03-29T16:38:19.608927+00:00,1b5eda3784da,document,markdown,misc
cil-0014-research-corpus-consolidation-no,RESEARCH_CORPUS_CONSOLIDATION_NOTE_2026-03-29s.md,.md,1167,2026-03-29T16:38:19.631381+00:00,9aa0859e1e97,document,markdown,misc
cil-0015-research-lab-index-2026-03-29ad,RESEARCH_LAB_INDEX_2026-03-29ad.md,.md,1176,2026-03-29T16:38:19.485015+00:00,27032c39e4a2,control,index,control_layer
cil-0016-research-lab-index-2026-03-29s,RESEARCH_LAB_INDEX_2026-03-29s.md,.md,512,2026-03-29T16:38:19.694462+00:00,f2814bf831e5,control,index,control_layer
cil-0017-singularity-works-matrix-shadow-,SINGULARITY_WORKS_MATRIX_SHADOW_PROCESS.md,.md,12034,2026-03-29T16:36:27.207714+00:00,f9632fee8827,document,markdown,misc
cil-0018-tq2-adaptive-k2-spec-2026-03-29y,TQ2_ADAPTIVE_K2_SPEC_2026-03-29y.md,.md,428,2026-03-29T16:36:19.701512+00:00,7c84b7ee8087,experiment,spec,latent_reasoning
