mode,step,family_behavior_acc,route_behavior_acc,family_probe_acc,route_probe_acc,mean_family_margin,mean_family_entropy,mean_route_margin,family_behavior_acc_pct,route_behavior_acc_pct,family_probe_acc_pct,route_probe_acc_pct
per_step,0,0.3,0.15,0.6666666666666666,0.3333333333333333,0.575,1.18,0.0,30.0,15.0,66.67,33.33
per_step,1,0.36666666666666664,0.26666666666666666,0.7,0.7,1.112,0.813,2.036,36.67,26.67,70.0,70.0
per_step,2,0.4666666666666667,0.38333333333333336,0.75,0.8,1.331,0.763,1.346,46.67,38.33,75.0,80.0
per_step,3,0.9444444444444444,0.8055555555555556,0.9444444444444444,0.6111111111111112,2.203,0.592,0.693,94.44,80.56,94.44,61.11
per_step,4,1.0,0.75,1.0,0.75,1.83,0.732,1.0,100.0,75.0,100.0,75.0
per_step,5,0.75,0.75,1.0,0.7916666666666666,1.958,0.719,1.289,75.0,75.0,100.0,79.17
per_step,6,0.5,0.5,1.0,0.8333333333333334,0.82,1.104,1.655,50.0,50.0,100.0,83.33
per_step,7,0.0,0.0,1.0,1.0,1.407,0.682,2.0,0.0,0.0,100.0,100.0
k2,0,0.3,0.15,0.6666666666666666,0.3333333333333333,0.575,1.18,0.0,30.0,15.0,66.67,33.33
k2,1,0.36666666666666664,0.26666666666666666,0.55,0.4,2.177,0.359,1.926,36.67,26.67,55.0,40.0
k2,2,0.45,0.36666666666666664,0.65,0.48333333333333334,4.075,0.211,1.343,45.0,36.67,65.0,48.33
k2,3,0.4444444444444444,0.3055555555555556,0.8333333333333334,0.6388888888888888,12.355,0.056,0.443,44.44,30.56,83.33,63.89
k2,4,0.25,0.25,1.0,0.875,12.665,0.015,0.914,25.0,25.0,100.0,87.5
k2,5,0.25,0.25,1.0,0.875,10.329,0.014,0.664,25.0,25.0,100.0,87.5
k2,6,0.0,0.0,1.0,1.0,8.538,0.034,0.578,0.0,0.0,100.0,100.0
k2,7,0.0,0.0,1.0,1.0,15.145,0.023,1.655,0.0,0.0,100.0,100.0
adaptive_k2,0,0.3,0.15,0.6666666666666666,0.3333333333333333,0.575,1.18,0.0,30.0,15.0,66.67,33.33
adaptive_k2,1,0.36666666666666664,0.26666666666666666,0.55,0.4,2.177,0.359,1.926,36.67,26.67,55.0,40.0
adaptive_k2,2,0.45,0.36666666666666664,0.65,0.48333333333333334,4.075,0.211,1.343,45.0,36.67,65.0,48.33
adaptive_k2,3,0.4444444444444444,0.3055555555555556,0.8333333333333334,0.6388888888888888,12.355,0.056,0.443,44.44,30.56,83.33,63.89
adaptive_k2,4,0.25,0.25,1.0,0.875,12.665,0.015,0.914,25.0,25.0,100.0,87.5
adaptive_k2,5,0.25,0.25,1.0,0.875,10.329,0.014,0.664,25.0,25.0,100.0,87.5
adaptive_k2,6,0.0,0.0,1.0,1.0,8.538,0.034,0.578,0.0,0.0,100.0,100.0
adaptive_k2,7,0.0,0.0,1.0,1.0,15.145,0.023,1.655,0.0,0.0,100.0,100.0
