task,model,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_accuracy_pct,std_accuracy_pct,mean_macro_f1_pct,std_macro_f1_pct
T1 Whole-plane motif invariance,BASE-0,0.615625,0.06160293722705112,0.5888443548939117,0.061094772690113375,61.56,6.16,58.88,6.11
T1 Whole-plane motif invariance,RB-2A,0.9712500000000001,0.018582585934148133,0.9706213521040178,0.019136813273843607,97.12,1.86,97.06,1.91
T1 Whole-plane motif invariance,RB-2B,0.47124999999999995,0.0497022383801776,0.4278568264564232,0.05139505088783462,47.12,4.97,42.79,5.14
T1 Whole-plane motif invariance,RB-2R_v3,0.9712500000000001,0.018582585934148133,0.9706213521040178,0.019136813273843607,97.12,1.86,97.06,1.91
T2 Block composition invariance,BASE-0,0.7675000000000001,0.034550687402713144,0.7283093896032629,0.03586791218065888,76.75,3.46,72.83,3.59
T2 Block composition invariance,RB-2A,0.8018749999999999,0.042988915722544103,0.7764942993553403,0.05013774423717422,80.19,4.3,77.65,5.01
T2 Block composition invariance,RB-2B,1.0,0.0,1.0,0.0,100.0,0.0,100.0,0.0
T2 Block composition invariance,RB-2R_v3,1.0,0.0,1.0,0.0,100.0,0.0,100.0,0.0
T3 Majority-sign sanity,BASE-0,0.8293750000000001,0.04370980296226465,0.6084505699630203,0.014636834503301556,82.94,4.37,60.85,1.46
T3 Majority-sign sanity,RB-2A,0.8293750000000001,0.04370980296226465,0.6084505699630203,0.014636834503301556,82.94,4.37,60.85,1.46
T3 Majority-sign sanity,RB-2B,0.40437500000000004,0.04631330127511966,0.19144211738636527,0.015703957699365154,40.44,4.63,19.14,1.57
T3 Majority-sign sanity,RB-2R_v3,1.0,0.0,1.0,0.0,100.0,0.0,100.0,0.0
T4 Mixed global+local motifs,BASE-0,0.3575,0.041344588521353066,0.32963587551746387,0.039338627351368394,35.75,4.13,32.96,3.93
T4 Mixed global+local motifs,RB-2A,0.53125,0.059358550352918836,0.44943779107831894,0.04183408569756164,53.12,5.94,44.94,4.18
T4 Mixed global+local motifs,RB-2B,0.3675,0.05052845732851934,0.2417000257208503,0.03054735992520553,36.75,5.05,24.17,3.05
T4 Mixed global+local motifs,RB-2R_v3,0.535,0.0562638871746345,0.4565076543373099,0.041343515485350465,53.5,5.63,45.65,4.13
